id,size,Relative Time (s),time_spent,Access Type
1,0.706456184387207,0,0,2
1,0.3914670944213867,0,0,2
1,0.0016803741455078,0,0,2
2,0.000925064086914,9,0,2
3,50629.37180042267,11,0,2
4,59007.40514087677,13,0,2
5,0.0003852844238281,16,0,2
6,1.4146928787231443,23,0,2
5,0.0003852844238281,23,0,1
7,24.34440422058105,37,0,2
8,6592.832158088684,40,0,2
9,0.1179704666137695,47,0,2
2,0.7022342681884766,52,0,2
10,0.0116128921508789,65,0,2
14,0.0150842666625976,66,0,2
13,0.0021543502807617,66,0,2
11,0.0016584396362304,66,0,2
12,0.0636529922485351,66,0,2
15,0.0490083694458007,67,0,2
3,0.2552328109741211,73,0,2
16,12.37533187866211,74,0,2
17,0.0003776550292968,75,0,2
18,235918.740606308,76,0,2
19,0.0146894454956054,79,0,2
20,0.0002880096435546,81,0,2
21,100636.18716239928,82,0,2
21,100636.18716239928,83,0,1
20,0.0002880096435546,83,0,1
2,0.049224853515625,103,0,2
22,180627.6654949188,105,0,2
23,0.0094547271728515,107,0,2
22,180627.6654949188,108,0,1
24,1.0141382217407229,108,0,2
25,0.721531867980957,109,0,2
27,0.0036497116088867,110,0,2
26,0.0062837600708007,110,0,2
3,1000.0883445739746,112,0,2
28,13.07524585723877,114,0,2
29,45.951294898986816,117,0,2
5,0.0003852844238281,118,0,1
5,0.0003852844238281,121,0,1
30,9.5367431640625e-07,123,0,2
4,0.009765625,131,0,2
22,180627.6654949188,135,0,1
31,56905.15432357788,141,0,2
22,180627.6654949188,145,0,1
32,0.0448999404907226,146,0,2
22,180627.6654949188,147,0,1
30,9.5367431640625e-07,148,0,1
5,23.662696838378903,148,0,2
4,0.2226085662841797,148,0,2
22,180627.6654949188,157,0,1
22,180627.6654949188,157,0,1
22,180627.6654949188,158,0,1
5,3.455428123474121,159,0,2
6,7.2479248046875e-05,160,0,2
7,0.0001039505004882,161,0,2
8,8.96453857421875e-05,161,0,2
9,0.0001983642578125,163,0,2
10,3451.1681423187256,164,0,2
11,0.0046815872192382,166,0,2
12,10848.284240722656,169,0,2
33,0.0036954879760742,169,0,2
34,0.0018739700317382,170,0,2
35,304.3850154876709,171,0,2
36,82.57263278961182,172,0,2
13,2285.164978027344,179,0,2
37,73721.01718425751,180,0,2
39,70072.62341022491,181,0,2
38,79666.22536277771,181,0,2
40,74793.2304019928,181,0,2
41,0.4717464447021484,182,0,2
20,0.0002880096435546,182,0,1
14,37189.41334152222,182,0,2
20,0.0002880096435546,183,0,1
42,61327.54895591736,184,0,2
43,0.4295072555541992,186,0,2
44,74725.38985061646,186,0,2
45,81833.33920669556,188,0,2
46,1043.456446647644,196,0,2
15,0.04833984375,199,0,2
47,0.6396160125732422,221,0,2
49,26.60834312438965,221,0,2
48,445451.3784790039,221,0,2
50,0.0020551681518554,222,0,2
5,0.0003852844238281,224,0,1
51,3.4191694259643555,231,0,2
53,10.665480613708496,232,0,2
52,3.247642517089844,232,0,2
54,4.037049293518066,237,0,2
43,0.4295072555541992,237,0,1
55,14323.1842212677,239,0,2
16,0.0036849975585937,251,0,2
5,0.0003852844238281,258,0,1
56,7.465808868408203,259,0,2
17,0.0003776550292968,262,0,2
18,2397.1424674987798,266,0,2
20,0.0002880096435546,274,0,1
57,87.6868085861206,281,0,2
58,0.0005140304565429,290,0,2
4,0.2226085662841797,300,0,1
19,107.00716876983644,304,0,2
20,0.0002880096435546,305,0,1
49,26.60834312438965,308,0,1
5,0.0003852844238281,318,0,1
59,1589.519881248474,319,0,2
60,3817.052567481994,321,0,2
6,2.3821840286254883,324,0,2
20,0.2441244125366211,326,0,2
61,56048.673025131226,327,0,2
4,0.2226085662841797,330,0,1
