ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.176742,0.201451,3.476093,9,8,1.128031,0.169643,13.079737
1,124.099998,2.453870,0.674457,3.929469,4,1,2.358678,0.639691,4.891323
2,10.300000,0.203665,0.055978,0.328004,4,1,0.195765,0.053093,0.409170
3,7.000000,0.138413,0.038043,0.222915,4,1,0.133044,0.036082,0.278077
4,3.400000,0.067229,0.018478,0.108273,4,1,0.064621,0.017526,0.135066
5,1.900000,0.037569,0.010326,0.060506,4,1,0.036112,0.009794,0.075478
6,4.100000,0.081071,0.022283,0.130565,4,1,0.077926,0.021134,0.162873
7,2.900000,0.061808,0.017470,0.092351,4,1,0.059245,0.016959,0.115203
8,3.700000,0.023692,0.003700,0.072702,9,8,0.023633,0.003987,0.263401
9,191.800003,3.792525,1.042391,6.104179,4,1,3.645402,0.988660,7.782965
10,158.300003,3.130118,0.860326,5.038016,4,1,3.008692,0.815979,6.423584
11,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
12,165.899994,3.280396,0.901630,5.279892,4,1,3.153139,0.855155,6.731980
13,192.600006,3.808344,1.046739,6.129640,4,1,3.660607,0.992784,7.815428
14,856.099976,5.581212,0.955469,16.627529,9,8,5.350179,0.804605,60.857190
15,71.400002,1.521757,0.430120,2.274191,4,1,1.458662,0.417544,2.895018
16,65.300003,0.418134,0.065300,1.284973,9,8,0.417085,0.070366,4.773216
17,56.099998,1.109284,0.304891,1.786865,4,1,1.066251,0.289175,2.274657
18,107.400002,2.123656,0.583696,3.400685,4,1,2.041273,0.553608,4.233104
19,115.500000,0.868484,0.128906,2.676478,10,8,0.846276,0.124461,8.158405
20,123.300003,2.438052,0.670109,3.904138,4,1,2.343473,0.635567,4.859792
21,9.400000,0.185869,0.051087,0.299344,4,1,0.178659,0.048454,0.373417
22,92.199997,1.823101,0.501087,2.919396,4,1,1.752378,0.475258,3.634005
23,124.000000,2.451893,0.673913,3.926303,4,1,2.356777,0.639175,4.887382
24,203.500000,4.337221,1.225904,6.476540,4,1,4.157391,1.190058,8.257734
25,110.900002,2.192863,0.602717,3.511508,4,1,2.107795,0.571649,4.371054
26,124.599998,0.936910,0.139062,2.887352,10,8,0.912952,0.134267,8.801188
27,187.199997,3.701568,1.017391,5.957780,4,1,3.557973,0.964948,7.596303
28,75.099998,1.484977,0.408152,2.392041,4,1,1.427371,0.387113,3.045040
29,153.399994,3.033229,0.833696,4.882070,4,1,2.915561,0.790722,6.224748
30,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
31,157.899994,3.122209,0.858152,5.025286,4,1,3.001089,0.813917,6.407352
32,113.500000,2.244273,0.616848,3.593834,4,1,2.157211,0.585052,4.473531
33,74.199997,1.467181,0.403261,2.363375,4,1,1.410265,0.382474,3.008548
34,72.199997,0.542897,0.080580,1.694305,10,8,0.529014,0.077802,5.281056
35,6.600000,0.042262,0.006600,0.129684,9,8,0.042156,0.007112,0.469851
36,15.900000,0.103658,0.017746,0.312420,9,8,0.099367,0.014944,1.131913
37,16.100000,0.318351,0.087500,0.512705,4,1,0.306001,0.082990,0.639576
38,10.300000,0.203665,0.055978,0.328004,4,1,0.195765,0.053093,0.409170
39,10.600000,0.209597,0.057609,0.337558,4,1,0.201466,0.054639,0.421087
40,13.600000,0.088663,0.015179,0.267227,9,8,0.084993,0.012782,0.968177
41,517.799988,3.315615,0.517800,10.056926,9,8,3.307300,0.557974,36.808613
42,447.700012,8.852521,2.433152,14.298771,4,1,8.509105,2.307732,16.767477
43,112.500000,2.224500,0.611413,3.562170,4,1,2.138205,0.579897,4.434117
44,532.099976,10.521389,2.891848,16.994361,4,1,10.113233,2.742783,19.928465
45,56.700001,0.363066,0.056700,1.115743,9,8,0.362155,0.061099,4.144584
46,57.000000,1.127080,0.309783,1.815531,4,1,1.083357,0.293814,2.311149
47,57.599998,1.138944,0.313043,1.834642,4,1,1.094761,0.296907,2.335477
48,117.699997,2.327321,0.639674,3.726821,4,1,2.237037,0.606701,4.639071
49,136.800003,0.891847,0.152679,2.635065,9,8,0.854929,0.128571,9.653603
50,149.000000,2.946226,0.809783,4.717896,4,1,2.831934,0.768041,5.872741
51,112.199997,2.218568,0.609783,3.552671,4,1,2.132503,0.578350,4.422292
52,1.700000,0.036232,0.010241,0.053828,4,1,0.034730,0.009942,0.067004
53,86.500000,1.710393,0.470109,2.738913,4,1,1.644042,0.445876,3.409343
54,89.000000,1.759827,0.483696,2.818072,4,1,1.691558,0.458763,3.507879
55,26.500000,0.523993,0.144022,0.843894,4,1,0.503666,0.136598,1.052718
56,8.600000,0.056066,0.009598,0.168982,9,8,0.053746,0.008083,0.612230
57,4.000000,0.079093,0.021739,0.127380,4,1,0.076025,0.020619,0.158901
58,160.000000,3.163733,0.869565,5.092120,4,1,3.041002,0.824742,6.492567
59,7.500000,0.148300,0.040761,0.238838,4,1,0.142547,0.038660,0.297939
60,6.500000,0.128527,0.035326,0.206993,4,1,0.123541,0.033505,0.258214
61,6.300000,0.124572,0.034239,0.200624,4,1,0.119739,0.032474,0.250269
62,154.600006,3.056957,0.840217,4.920261,4,1,2.938369,0.796907,6.273443
63,74.099998,1.465204,0.402717,2.360190,4,1,1.408364,0.381959,3.004493
64,2.200000,0.043501,0.011957,0.070073,4,1,0.041814,0.011340,0.089202
65,152.899994,3.023342,0.830978,4.866157,4,1,2.906058,0.788144,6.204459
66,72.300003,1.429612,0.392935,2.302858,4,1,1.374153,0.372680,2.931510
67,190.000000,1.216622,0.190000,3.659045,9,8,1.213571,0.204741,13.768145
68,123.199997,2.436074,0.669565,3.900972,4,1,2.341572,0.635052,4.855850
69,214.699997,4.245334,1.166848,6.832988,4,1,4.080645,1.106701,8.712213
70,13.100000,0.259031,0.071196,0.417170,4,1,0.248982,0.067526,0.520400
71,2.000000,0.039547,0.010870,0.063690,4,1,0.038013,0.010309,0.079450
72,186.000000,3.677840,1.010870,5.919589,4,1,3.535165,0.958763,7.547609
73,119.900002,0.767753,0.119900,2.309534,9,8,0.765827,0.129203,8.461016
74,123.300003,2.438052,0.670109,3.904138,4,1,2.343473,0.635567,4.859792
75,51.200001,1.012395,0.278261,1.630793,4,1,0.973121,0.263918,2.075979
76,73.099998,0.468079,0.073100,1.438462,9,8,0.466905,0.078772,5.343370
77,7.600000,0.150277,0.041304,0.242022,4,1,0.144448,0.039175,0.301912
78,63.900002,1.263516,0.347283,2.035306,4,1,1.214500,0.329381,2.590919
79,1.800000,0.013535,0.002009,0.042240,10,8,0.013189,0.001940,0.131661
80,85.300003,1.686665,0.463587,2.700916,4,1,1.621235,0.439691,3.362046
81,118.500000,2.343140,0.644022,3.752152,4,1,2.252242,0.610825,4.670603
82,164.399994,1.071780,0.183482,3.166037,9,8,1.027414,0.154511,11.913068
83,2.300000,0.014994,0.002567,0.044294,9,8,0.014374,0.002162,0.166667
84,160.300003,3.169665,0.871196,5.101668,4,1,3.046704,0.826289,6.504741
85,71.000000,0.454632,0.071000,1.397138,9,8,0.453492,0.076509,5.189867
86,191.399994,4.079332,1.153012,6.091448,4,1,3.910195,1.119298,7.766733
87,124.199997,2.455848,0.675000,3.932635,4,1,2.360578,0.640206,4.895265
88,214.600006,4.243357,1.166304,6.829806,4,1,4.078745,1.106186,8.708156
89,122.099998,2.414324,0.663587,3.866142,4,1,2.320665,0.629381,4.812495
90,2.100000,0.041524,0.011413,0.066494,4,1,0.039913,0.010825,0.082770
91,193.399994,3.824162,1.051087,6.155100,4,1,3.675812,0.996907,7.847890
92,121.599998,2.404437,0.660870,3.850310,4,1,2.311162,0.626804,4.792788
93,199.199997,1.275532,0.199200,3.836220,9,8,1.272333,0.214655,14.434813
94,70.199997,1.388088,0.381522,2.235969,4,1,1.334240,0.361856,2.846362
95,51.400002,1.095495,0.309639,1.637163,4,1,1.050073,0.300585,2.084089
96,62.700001,1.239788,0.340761,1.997084,4,1,1.191693,0.323196,2.542264
97,135.899994,2.687196,0.738587,4.303101,4,1,2.582951,0.700515,5.356413
98,73.099998,1.445431,0.397283,2.328339,4,1,1.389358,0.376804,2.963947
99,161.300003,1.032848,0.161300,3.106337,9,8,1.030258,0.173815,11.688430
100,73.699997,1.457294,0.400543,2.347449,4,1,1.400762,0.379897,2.988275
101,188.300003,3.723318,1.023370,5.992789,4,1,3.578880,0.970619,7.640940
102,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
103,155.699997,3.078708,0.846196,4.955269,4,1,2.959275,0.802577,6.318079
104,121.099998,2.394550,0.658152,3.834478,4,1,2.301659,0.624227,4.773080
105,187.199997,1.198693,0.187200,3.605123,9,8,1.195687,0.201724,13.565246
106,213.899994,4.229516,1.162500,6.807528,4,1,4.065440,1.102577,8.679750
107,52.099998,1.030191,0.283152,1.659459,4,1,0.990226,0.268557,2.112471
108,131.199997,2.594261,0.713043,4.154281,4,1,2.493622,0.676289,5.171165
109,2.100000,0.013447,0.002100,0.040451,9,8,0.013413,0.002263,0.148191
110,191.500000,3.786593,1.040761,6.094631,4,1,3.639700,0.987113,7.770791
111,121.000000,2.392573,0.657609,3.831311,4,1,2.299758,0.623711,4.769139
112,49.400002,0.976803,0.268478,1.573460,4,1,0.938910,0.254639,2.002996
113,137.300003,2.714879,0.746196,4.347430,4,1,2.609560,0.707732,5.411593
114,72.300003,1.429612,0.392935,2.302858,4,1,1.374153,0.372680,2.931510
115,73.800003,1.459272,0.401087,2.350635,4,1,1.402662,0.380412,2.992330
116,32.299999,0.206826,0.032300,0.635599,9,8,0.206307,0.034806,2.361024
117,17.200001,0.112133,0.019196,0.337964,9,8,0.107491,0.016165,1.224459
118,266.700012,5.273548,1.449457,8.487928,4,1,5.068971,1.374742,10.822298
119,243.300003,4.810852,1.322283,7.743205,4,1,4.624224,1.254124,9.872760
120,11.900000,0.235303,0.064674,0.378956,4,1,0.226175,0.061340,0.472730
121,120.500000,2.382686,0.654891,3.815480,4,1,2.290255,0.621134,4.749432
122,2.400000,0.047456,0.013043,0.075993,4,1,0.045615,0.012371,0.094594
123,152.199997,3.009501,0.827174,4.843879,4,1,2.892754,0.784536,6.176054
124,157.100006,3.106391,0.853804,4.999825,4,1,2.985884,0.809794,6.374889
125,189.500000,3.747046,1.029891,6.030980,4,1,3.601687,0.976804,7.689634
126,121.400002,0.791449,0.135491,2.338427,9,8,0.758687,0.114098,8.566867
127,196.399994,3.883482,1.067391,6.250577,4,1,3.732830,1.012371,7.969626
128,2.100000,0.013447,0.002100,0.040442,9,8,0.013413,0.002263,0.152174
129,68.800003,1.360405,0.373913,2.191378,4,1,1.307631,0.354639,2.789597
130,247.000000,1.581609,0.247000,4.756759,9,8,1.577642,0.266164,17.898588
131,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
132,133.300003,0.853556,0.133300,2.567647,9,8,0.851416,0.143642,9.406617
133,191.699997,3.790548,1.041848,6.100996,4,1,3.643501,0.988144,7.778907
134,2.100000,0.013447,0.002100,0.040442,9,8,0.013413,0.002263,0.152174
135,213.199997,1.365178,0.213200,4.105834,9,8,1.361754,0.229741,15.449307
136,124.099998,2.453870,0.674457,3.929469,4,1,2.358678,0.639691,4.891323
137,138.199997,2.732674,0.751087,4.375928,4,1,2.626666,0.712371,5.447066
138,52.299999,1.034145,0.284239,1.665829,4,1,0.994028,0.269588,2.120580
139,48.599998,0.960984,0.264130,1.547979,4,1,0.923704,0.250515,1.970558
140,146.500000,2.896793,0.796196,4.638737,4,1,2.784418,0.755155,5.774205
141,70.500000,0.459614,0.078683,1.387299,9,8,0.440588,0.066259,5.153319
142,74.300003,1.469159,0.403804,2.366561,4,1,1.412166,0.382990,3.012603
143,51.700001,1.022281,0.280978,1.646718,4,1,0.982624,0.266495,2.096252
144,2.500000,0.049433,0.013587,0.079629,4,1,0.047516,0.012887,0.101366
145,154.600006,3.056957,0.840217,4.920261,4,1,2.938369,0.796907,6.273443
146,67.800003,0.509812,0.075670,1.591051,10,8,0.496775,0.073060,4.959220
147,158.300003,3.130118,0.860326,5.038016,4,1,3.008692,0.815979,6.423584
148,192.300003,3.802412,1.045109,6.120092,4,1,3.654905,0.991237,7.803254
149,132.699997,2.623921,0.721196,4.201777,4,1,2.522131,0.684021,5.230287
150,2.200000,0.043501,0.011957,0.069660,4,1,0.041814,0.011340,0.086712
151,124.599998,0.797848,0.124600,2.400066,9,8,0.795847,0.134267,8.792682
152,227.000000,1.453543,0.227000,4.371596,9,8,1.449898,0.244612,16.449310
153,134.500000,2.659513,0.730978,4.258772,4,1,2.556343,0.693299,5.301233
154,212.800003,1.600117,0.237500,4.918735,10,8,1.559199,0.229310,15.419345
155,124.400002,2.651353,0.749398,3.938968,4,1,2.541422,0.727485,4.903148
156,2.300000,0.045479,0.012500,0.072827,4,1,0.043714,0.011856,0.090653
157,188.600006,3.729251,1.025000,6.002337,4,1,3.584582,0.972165,7.653114
158,184.800003,3.654112,1.004348,5.881399,4,1,3.512358,0.952577,7.498915
159,133.800003,0.856758,0.133800,2.577278,9,8,0.854609,0.144181,9.441901
160,2.200000,0.014087,0.002200,0.042377,9,8,0.014052,0.002371,0.155248
161,67.099998,0.437448,0.074888,1.320394,9,8,0.419340,0.063064,4.904790
162,74.199997,0.483735,0.082812,1.460107,9,8,0.463711,0.069737,5.423777
163,50.299999,0.994599,0.273370,1.602126,4,1,0.956015,0.259278,2.039487
164,146.800003,2.902725,0.797826,4.648236,4,1,2.790120,0.756701,5.786030
165,67.400002,0.506804,0.075223,1.581664,10,8,0.493844,0.072629,4.929962
166,80.699997,1.595708,0.438587,2.555263,4,1,1.533806,0.415979,3.180740
167,73.800003,1.459272,0.401087,2.350635,4,1,1.402662,0.380412,2.992330
168,2.400000,0.047456,0.013043,0.076443,4,1,0.045615,0.012371,0.097312
169,149.300003,0.956009,0.149300,2.875842,9,8,0.953611,0.160884,10.535694
170,154.199997,0.987385,0.154200,2.969604,9,8,0.984909,0.166164,11.173936
171,184.000000,3.638293,1.000000,5.855938,4,1,3.497153,0.948454,7.466452
172,134.600006,2.661491,0.731522,4.261938,4,1,2.558243,0.693814,5.305175
173,2.300000,0.014728,0.002300,0.044303,9,8,0.014691,0.002478,0.162305
174,2.500000,0.049433,0.013587,0.079159,4,1,0.047516,0.012887,0.098536
175,139.399994,2.756402,0.757609,4.413924,4,1,2.649473,0.718557,5.494363
176,140.699997,1.057972,0.157031,3.260437,10,8,1.030918,0.151616,9.938420
177,116.099998,2.295684,0.630978,3.676159,4,1,2.206627,0.598454,4.576008
178,213.199997,4.215674,1.158696,6.785250,4,1,4.052136,1.098969,8.651345
179,132.199997,2.614034,0.718478,4.185945,4,1,2.512628,0.681443,5.210580
180,2.400000,0.047456,0.013043,0.075993,4,1,0.045615,0.012371,0.094594
