ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,3.569086,0.980978,5.744548,4,1,3.430631,0.930412,7.324427
1,124.099998,2.453870,0.674457,3.929469,4,1,2.358678,0.639691,4.891323
2,10.300000,0.203665,0.055978,0.328004,4,1,0.195765,0.053093,0.409170
3,7.000000,0.138413,0.038043,0.222915,4,1,0.133044,0.036082,0.278077
4,3.400000,0.067229,0.018478,0.108273,4,1,0.064621,0.017526,0.135066
5,1.900000,0.037569,0.010326,0.060506,4,1,0.036112,0.009794,0.075478
6,4.100000,0.081071,0.022283,0.130565,4,1,0.077926,0.021134,0.162873
7,2.900000,0.057343,0.015761,0.092351,4,1,0.055118,0.014948,0.115203
8,3.700000,0.073161,0.020109,0.117827,4,1,0.070323,0.019072,0.146983
9,191.800003,3.792525,1.042391,6.104179,4,1,3.645402,0.988660,7.782965
10,158.300003,3.130118,0.860326,5.038016,4,1,3.008692,0.815979,6.423584
11,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
12,165.899994,3.280396,0.901630,5.279892,4,1,3.153139,0.855155,6.731980
13,192.600006,3.808344,1.046739,6.129640,4,1,3.660607,0.992784,7.815428
14,856.099976,16.927949,4.652717,27.342365,4,1,16.271264,4.412886,32.063069
15,71.400002,1.411816,0.388043,2.274191,4,1,1.357047,0.368041,2.895018
16,65.300003,1.291199,0.354891,2.079898,4,1,1.241109,0.336598,2.647685
17,56.099998,1.109284,0.304891,1.786865,4,1,1.066251,0.289175,2.274657
18,107.400002,2.123656,0.583696,3.400685,4,1,2.041273,0.553608,4.233104
19,115.500000,2.283820,0.627717,3.657161,4,1,2.195224,0.595361,4.552360
20,123.300003,2.438052,0.670109,3.904138,4,1,2.343473,0.635567,4.859792
21,9.400000,0.185869,0.051087,0.299344,4,1,0.178659,0.048454,0.373417
22,92.199997,1.823101,0.501087,2.919396,4,1,1.752378,0.475258,3.634005
23,124.000000,2.451893,0.673913,3.926303,4,1,2.356777,0.639175,4.887382
24,203.500000,4.023873,1.105978,6.476540,4,1,3.867775,1.048969,8.257734
25,110.900002,2.192863,0.602717,3.511508,4,1,2.107795,0.571649,4.371054
26,124.599998,2.463757,0.677174,3.945301,4,1,2.368181,0.642268,4.911031
27,187.199997,3.701568,1.017391,5.957780,4,1,3.557973,0.964948,7.596303
28,75.099998,1.484977,0.408152,2.392041,4,1,1.427371,0.387113,3.045040
29,153.399994,3.033229,0.833696,4.882070,4,1,2.915561,0.790722,6.224748
30,2.200000,0.043501,0.011957,0.070017,4,1,0.041814,0.011340,0.089273
31,157.899994,3.122209,0.858152,5.025286,4,1,3.001089,0.813917,6.407352
32,113.500000,2.244273,0.616848,3.593834,4,1,2.157211,0.585052,4.473531
33,74.199997,1.467181,0.403261,2.363375,4,1,1.410265,0.382474,3.008548
34,72.199997,1.427635,0.392391,2.299672,4,1,1.372252,0.372165,2.927455
35,6.600000,0.130504,0.035870,0.210177,4,1,0.125441,0.034021,0.262186
36,15.900000,0.314396,0.086413,0.506336,4,1,0.302200,0.081959,0.631631
37,16.100000,0.318351,0.087500,0.512705,4,1,0.306001,0.082990,0.639576
38,10.300000,0.203665,0.055978,0.328004,4,1,0.195765,0.053093,0.409170
39,10.600000,0.209597,0.057609,0.337558,4,1,0.201466,0.054639,0.421087
40,13.600000,0.268917,0.073913,0.433093,4,1,0.258485,0.070103,0.540263
41,517.799988,10.238631,2.814130,16.537644,4,1,9.841444,2.669072,19.392895
42,447.700012,8.852521,2.433152,14.298771,4,1,8.509105,2.307732,16.767477
43,112.500000,2.224500,0.611413,3.562170,4,1,2.138205,0.579897,4.434117
44,532.099976,10.521389,2.891848,16.994361,4,1,10.113233,2.742783,19.928465
45,56.700001,1.121148,0.308152,1.805975,4,1,1.077655,0.292268,2.298985
46,57.000000,1.127080,0.309783,1.815531,4,1,1.083357,0.293814,2.311149
47,57.599998,1.138944,0.313043,1.834642,4,1,1.094761,0.296907,2.335477
48,117.699997,2.327321,0.639674,3.726821,4,1,2.237037,0.606701,4.639071
49,136.800003,2.704992,0.743478,4.331599,4,1,2.600057,0.705155,5.391886
50,149.000000,2.946226,0.809783,4.717896,4,1,2.831934,0.768041,5.872741
51,112.199997,2.218568,0.609783,3.552671,4,1,2.132503,0.578350,4.422292
52,1.700000,0.033615,0.009239,0.053828,4,1,0.032311,0.008763,0.067004
53,86.500000,1.710393,0.470109,2.738913,4,1,1.644042,0.445876,3.409343
54,89.000000,1.759827,0.483696,2.818072,4,1,1.691558,0.458763,3.507879
55,26.500000,0.523993,0.144022,0.843894,4,1,0.503666,0.136598,1.052718
56,8.600000,0.170051,0.046739,0.273868,4,1,0.163454,0.044330,0.341637
57,4.000000,0.079093,0.021739,0.127380,4,1,0.076025,0.020619,0.158901
58,160.000000,3.163733,0.869565,5.092120,4,1,3.041002,0.824742,6.492567
59,7.500000,0.148300,0.040761,0.238838,4,1,0.142547,0.038660,0.297939
60,6.500000,0.128527,0.035326,0.206993,4,1,0.123541,0.033505,0.258214
61,6.300000,0.124572,0.034239,0.200624,4,1,0.119739,0.032474,0.250269
62,154.600006,3.056957,0.840217,4.920261,4,1,2.938369,0.796907,6.273443
63,74.099998,1.465204,0.402717,2.360190,4,1,1.408364,0.381959,3.004493
64,2.200000,0.043501,0.011957,0.070073,4,1,0.041814,0.011340,0.089202
65,152.899994,3.023342,0.830978,4.866157,4,1,2.906058,0.788144,6.204459
66,72.300003,1.429612,0.392935,2.302858,4,1,1.374153,0.372680,2.931510
67,190.000000,3.756933,1.032609,6.046892,4,1,3.611190,0.979381,7.709923
68,123.199997,2.436074,0.669565,3.900972,4,1,2.341572,0.635052,4.855850
69,214.699997,4.245334,1.166848,6.832988,4,1,4.080645,1.106701,8.712213
70,13.100000,0.259031,0.071196,0.417170,4,1,0.248982,0.067526,0.520400
71,2.000000,0.039547,0.010870,0.063690,4,1,0.038013,0.010309,0.079450
72,186.000000,3.677840,1.010870,5.919589,4,1,3.535165,0.958763,7.547609
73,119.900002,2.370823,0.651630,3.796481,4,1,2.278851,0.618041,4.725783
74,123.300003,2.438052,0.670109,3.904138,4,1,2.343473,0.635567,4.859792
75,51.200001,1.012395,0.278261,1.630793,4,1,0.973121,0.263918,2.075979
76,73.099998,1.445431,0.397283,2.328339,4,1,1.389358,0.376804,2.963947
