ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.541055,0.240667,5.118577,9,6,1.537190,0.259339,11.434178
1,124.099998,1.059528,0.165467,3.523488,9,6,1.056871,0.178305,7.664908
2,10.300000,0.087938,0.013733,0.295114,9,6,0.087718,0.014799,0.641537
3,7.000000,0.059764,0.009333,0.200563,9,6,0.059614,0.010057,0.435996
4,3.400000,0.029028,0.004533,0.097416,9,6,0.028955,0.004885,0.211770
5,1.900000,0.016222,0.002533,0.054439,9,6,0.016181,0.002730,0.118342
6,4.100000,0.035005,0.005467,0.117473,9,6,0.034917,0.005891,0.255369
7,2.900000,0.024759,0.003867,0.083090,9,6,0.024697,0.004167,0.180627
8,3.700000,0.031589,0.004933,0.106012,9,6,0.031510,0.005316,0.230455
9,191.800003,1.637531,0.255733,5.439020,9,6,1.633424,0.275575,12.150002
10,158.300003,1.351518,0.211067,4.489035,9,6,1.348128,0.227443,10.027870
11,2.200000,0.018783,0.002933,0.062387,9,6,0.018736,0.003161,0.139364
12,165.899994,1.416404,0.221200,4.704554,9,6,1.412852,0.238362,10.509308
13,192.600006,1.644361,0.256800,5.461707,9,6,1.640237,0.276724,12.200680
14,856.099976,7.309124,1.141467,24.409326,9,6,7.290793,1.230029,52.567741
15,71.400002,0.609592,0.095200,2.039807,9,6,0.608063,0.102586,4.559988
16,65.300003,0.557512,0.087067,1.865538,9,6,0.556114,0.093822,4.170409
17,56.099998,0.478965,0.074800,1.602706,9,6,0.477764,0.080603,3.582847
18,107.400002,0.916949,0.143200,3.049337,9,6,0.914649,0.154310,6.633450
19,115.500000,0.986104,0.154000,3.279314,9,6,0.983631,0.165948,7.133738
20,123.300003,1.052698,0.164400,3.500775,9,6,1.050058,0.177155,7.615498
21,9.400000,0.080254,0.012533,0.269327,9,6,0.080053,0.013506,0.585481
22,92.199997,0.787176,0.122933,2.617773,9,6,0.785202,0.132471,5.694638
23,124.000000,1.058675,0.165333,3.520649,9,6,1.056020,0.178161,7.658732
24,203.500000,1.737422,0.271333,5.770806,9,6,1.733064,0.292385,12.891165
25,110.900002,0.946831,0.147867,3.148710,9,6,0.944456,0.159339,6.849624
26,124.599998,1.063797,0.166133,3.537685,9,6,1.061129,0.179023,7.695790
27,187.199997,1.598257,0.249600,5.308574,9,6,1.594249,0.268966,11.858605
28,75.099998,0.641181,0.100133,2.145512,9,6,0.639573,0.107902,4.796290
29,153.399994,1.309683,0.204533,4.350082,9,6,1.306398,0.220402,9.717468
30,2.200000,0.018783,0.002933,0.062387,9,6,0.018736,0.003161,0.139364
31,157.899994,1.348103,0.210533,4.477692,9,6,1.344722,0.226868,10.002530
32,113.500000,0.969029,0.151333,3.222530,9,6,0.966599,0.163075,7.010210
33,74.199997,0.633497,0.098933,2.119800,9,6,0.631908,0.106609,4.738811
34,72.199997,0.616422,0.096267,2.062662,9,6,0.614876,0.103736,4.611080
35,6.600000,0.056349,0.008800,0.189102,9,6,0.056207,0.009483,0.411082
