ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,6.000770,1.079114,20.676071,9,6,5.600379,0.908728,44.527831
1,11.411539,0.094431,0.016981,0.326962,9,6,0.088130,0.014300,0.710770
2,609.759766,5.045789,0.907381,17.385615,9,6,4.709117,0.764110,37.441531
3,725.498230,6.003529,1.079610,20.685578,9,6,5.602954,0.909146,44.548305
4,532.568359,4.407026,0.792512,15.184715,9,6,4.112975,0.667379,32.701690
5,86.672462,0.717218,0.128977,2.460833,9,6,0.669363,0.108612,5.353235
6,710.975403,5.883352,1.057999,20.271499,9,6,5.490796,0.890947,43.656549
8,634.303101,5.248886,0.943903,18.085400,9,6,4.898663,0.794866,38.948583
9,145.225861,1.201750,0.216110,4.123301,9,6,1.121566,0.181987,8.969726
10,674.995728,5.585619,1.004458,19.245638,9,6,5.212928,0.845859,41.447263
11,385.642242,3.191206,0.573872,10.995523,9,6,2.978279,0.483261,23.679876
12,175.939453,1.455907,0.261815,4.989250,9,6,1.358764,0.220476,11.145280
13,67.660675,0.559895,0.100686,1.932980,9,6,0.522537,0.084788,4.321174
14,679.355957,5.621700,1.010946,19.369958,9,6,5.246602,0.851323,41.714997
15,258.051331,2.142368,0.390987,7.317760,9,6,2.053538,0.384005,16.346842
16,69.204796,0.572673,0.102983,1.977093,9,6,0.534462,0.086723,4.419790
17,643.100220,5.321682,0.956994,18.336226,9,6,4.966602,0.805890,39.488759
18,609.830811,5.046376,0.907486,17.387641,9,6,4.709666,0.764199,37.445893
19,597.602295,4.945185,0.889289,17.038978,9,6,4.615226,0.748875,36.695017
20,491.495453,4.067146,0.731392,14.013635,9,6,3.795773,0.615909,30.179659
21,650.152222,5.380038,0.967488,18.537294,9,6,5.021064,0.814727,39.921779
22,690.469971,5.713669,1.027485,19.686844,9,6,5.332434,0.865251,42.397439
23,614.826660,5.087717,0.914921,17.530084,9,6,4.748248,0.770459,37.752657
25,501.309601,4.148359,0.745996,14.293458,9,6,3.871567,0.628208,30.782285
26,582.440308,4.819719,0.866727,16.606676,9,6,4.498132,0.729875,35.764014
27,104.511337,0.864836,0.155523,2.967321,9,6,0.807131,0.130967,6.455035
28,283.751495,2.348056,0.422249,8.046560,9,6,2.191386,0.355578,17.974877
29,54.831741,0.453735,0.081595,1.566473,9,6,0.423460,0.068711,3.501850
30,405.939453,3.359167,0.604077,11.574242,9,6,3.135032,0.508696,24.926201
31,219.356293,1.815183,0.326423,6.220455,9,6,1.694068,0.274883,13.895618
32,734.342712,6.076718,1.092772,20.937754,9,6,5.671259,0.920229,45.091390
33,725.169556,6.000810,1.079121,20.676206,9,6,5.600416,0.908734,44.528124
34,646.132874,5.346778,0.961507,18.422694,9,6,4.990023,0.809690,39.674976
35,337.266113,2.790892,0.501884,9.616211,9,6,2.604674,0.422639,20.709401
36,44.399189,0.367405,0.066070,1.268429,9,6,0.342891,0.055638,2.835571
37,447.539062,3.703405,0.665981,12.760340,9,6,3.456302,0.560826,27.480573
38,432.870514,3.582022,0.644153,12.342107,9,6,3.343018,0.542444,26.579869
39,785.977173,6.503995,1.169609,22.409968,9,6,6.070027,0.984934,48.261939
40,660.534058,5.465948,0.982938,18.833304,9,6,5.101242,0.827737,40.559262
41,390.499878,3.231403,0.581101,11.134025,9,6,3.015794,0.489348,23.978153
42,770.823669,6.378599,1.147059,21.977907,9,6,5.952998,0.965944,47.331457
43,623.530823,5.159745,0.927873,17.778259,9,6,4.815470,0.781367,38.287125
44,41.233646,0.341210,0.061360,1.177993,9,6,0.318444,0.051671,2.633402
45,629.116577,5.205967,0.936185,17.937521,9,6,4.858608,0.788367,38.630111
46,74.365311,0.615376,0.110663,2.124523,9,6,0.574316,0.093190,4.749368
47,428.754822,3.547965,0.638028,12.224759,9,6,3.311233,0.537287,26.327150
48,306.142365,2.533341,0.455569,8.728804,9,6,2.364309,0.383637,18.798286
49,695.887817,5.758502,1.035547,19.841319,9,6,5.374276,0.872040,42.730115
50,177.183868,1.466204,0.263666,5.024539,9,6,1.368374,0.222035,11.224111
51,275.597992,2.280585,0.410116,7.815344,9,6,2.128417,0.345361,17.458375
53,500.637665,4.142798,0.744997,14.274300,9,6,3.866377,0.627365,30.741025
54,225.077118,1.862523,0.334936,6.382685,9,6,1.738249,0.282052,14.258016
55,157.564041,1.303849,0.234470,4.468165,9,6,1.216852,0.197449,9.981249
56,754.612244,6.244449,1.122935,21.515683,9,6,5.827799,0.945629,46.336015
57,713.568176,5.904808,1.061857,20.345425,9,6,5.510820,0.894196,43.815755
58,621.270691,5.141042,0.924510,17.713817,9,6,4.798015,0.778535,38.148345
59,115.675117,0.957217,0.172136,3.284286,9,6,0.893348,0.144956,7.144554
60,50.812351,0.420474,0.075614,1.451644,9,6,0.392419,0.063675,3.245150
61,199.777695,1.653169,0.297288,5.665250,9,6,1.542864,0.250348,12.655367
62,559.669922,4.631293,0.832842,15.957442,9,6,4.322278,0.701341,34.365827
63,639.852844,5.294810,0.952162,18.243636,9,6,4.941523,0.801821,39.289358
64,107.671104,0.890983,0.160225,3.057034,9,6,0.831534,0.134926,6.650195
65,204.431885,1.691683,0.304214,5.797232,9,6,1.578808,0.256180,12.950197
66,682.380249,5.646726,1.015447,19.456188,9,6,5.269958,0.855113,41.900700
67,429.624969,3.555165,0.639323,12.249569,9,6,3.317953,0.538377,26.380580
68,504.077850,4.171266,0.750116,14.372387,9,6,3.892946,0.631677,30.952266
69,76.944733,0.636721,0.114501,2.184640,9,6,0.594237,0.096422,4.752412
70,726.870972,6.014889,1.081653,20.724718,9,6,5.613556,0.910866,44.632597
71,572.138672,4.734472,0.851397,16.312954,9,6,4.418573,0.716966,35.131455
72,28.637928,0.236980,0.042616,0.820530,9,6,0.221168,0.035887,1.783719
73,602.012695,4.981681,0.895852,17.164729,9,6,4.649287,0.754402,36.965832
74,622.210205,5.148816,0.925908,17.740605,9,6,4.805271,0.779712,38.206034
75,548.891541,4.542101,0.816803,15.650126,9,6,4.239038,0.687834,33.703994
76,297.602997,2.462678,0.442862,8.439357,9,6,2.298360,0.372936,18.852331
77,655.711365,5.426040,0.975761,18.695798,9,6,5.063997,0.821693,40.263131
78,301.692749,2.496521,0.448948,8.601935,9,6,2.329945,0.378061,18.525063
79,641.440186,5.307945,0.954524,18.288895,9,6,4.953782,0.803810,39.386827
80,598.095581,4.965449,0.906205,17.053043,9,6,4.759566,0.890023,36.725306
81,353.747406,2.927275,0.526410,10.086130,9,6,2.731958,0.443292,21.721414
82,700.879761,5.799810,1.042976,19.983650,9,6,5.412828,0.878295,43.036639
83,335.164551,2.773501,0.498757,9.556291,9,6,2.588444,0.420006,20.580357
84,527.764709,4.367276,0.785364,15.047753,9,6,4.075877,0.661359,32.406728
85,428.852448,3.548773,0.638173,12.227543,9,6,3.311987,0.537409,26.333145
87,296.988220,2.457590,0.441947,8.421924,9,6,2.293612,0.372166,18.813387
88,718.308289,5.944032,1.068911,20.480576,9,6,5.547427,0.900136,44.106816
89,650.051636,5.379206,0.967339,18.534426,9,6,5.020287,0.814601,39.915602
90,720.335876,5.960811,1.071928,20.538387,9,6,5.563086,0.902677,44.231318
91,39.646057,0.328073,0.058997,1.132638,9,6,0.306183,0.049682,2.532010
92,548.984375,4.542870,0.816941,15.652773,9,6,4.239754,0.687950,33.709694
93,562.680969,4.656209,0.837323,16.043293,9,6,4.345532,0.705114,34.550716
94,352.144684,2.914013,0.524025,10.040433,9,6,2.719580,0.441284,21.623001
96,332.590057,2.752197,0.494926,9.482887,9,6,2.568562,0.416780,20.422274
97,29.963949,0.247953,0.044589,0.858523,9,6,0.231409,0.037549,1.866310
98,836.525513,6.922285,1.244830,23.851214,9,6,6.460408,1.048278,51.365796
99,779.557983,6.450876,1.160057,22.226942,9,6,6.020453,0.976890,47.867776
100,779.028748,6.446497,1.159269,22.211852,9,6,6.016365,0.976227,47.835279
101,62.024612,0.513256,0.092299,1.771964,9,6,0.479010,0.077725,3.961225
102,433.423889,3.586602,0.644976,12.357885,9,6,3.347292,0.543138,26.613848
103,379.487579,3.140276,0.564714,10.820040,9,6,2.930747,0.475548,23.301957
104,53.367588,0.441619,0.079416,1.524644,9,6,0.412153,0.066877,3.408341
105,773.489624,6.400660,1.151026,22.053920,9,6,5.973587,0.969285,47.495157
106,195.501862,1.617786,0.290925,5.543997,9,6,1.509842,0.244990,12.384505
107,196.947861,1.629752,0.293077,5.585002,9,6,1.521010,0.246802,12.476105
108,537.714111,4.449608,0.800170,15.331432,9,6,4.152715,0.673827,33.017658
109,563.458130,4.662641,0.838479,16.065452,9,6,4.351534,0.706088,34.598437
110,118.256241,0.978576,0.175977,3.357571,9,6,0.913282,0.148191,7.303975
111,772.636841,6.393603,1.149757,22.029605,9,6,5.967001,0.968217,47.442792
112,723.502808,5.987017,1.076641,20.628684,9,6,5.587544,0.906645,44.425779
113,102.304771,0.846576,0.152239,2.904671,9,6,0.790090,0.128201,6.318749
114,808.355652,6.689178,1.202910,23.048028,9,6,6.242854,1.012977,49.636061
115,526.808838,4.359366,0.783942,15.020499,9,6,4.068495,0.660161,32.348033
116,250.234634,2.070702,0.372373,7.096096,9,6,1.932538,0.313577,15.851676
117,653.106567,5.404485,0.971885,18.621529,9,6,5.043880,0.818429,40.103186
118,725.098633,6.000223,1.079016,20.674184,9,6,5.599868,0.908645,44.523769
119,103.955925,0.860240,0.154696,2.951551,9,6,0.802842,0.130271,6.420731
